Engine_Temperature,Fuel_Level,Fuel_Pressure,Water_in_Fuel,Engine_Oil_Pressure,Engine_RPM,Hydraulic_Oil_Temp,Hydraulic_Pressure,Transmission_Oil_Temp,Brake_Pressure,Coolant_Temperature,Air_Filter_Pressure_Drop,Battery_Voltage,PTO_RPM,Engine_Load,Exhaust_Temperature,Transmission_Gear_State,Machine_Operating_Mode,Condition_Label_Air_Filter_Blockage,Condition_Label_Brake_Failure,Condition_Label_Electrical_Fault,Condition_Label_Engine_Overheating,Condition_Label_Engine_Overload,Condition_Label_Excessive_Idling,Condition_Label_Fuel_Contamination,Condition_Label_Hydraulic_Overload,Condition_Label_Normal,Condition_Label_PTO_Misuse,Condition_Label_Transmission_Failure
86.98685661204493,46.96833761203153,46.62532990604724,27.275899833963127,51.837071820135606,2054.4327312316655,56.03338814269558,2524.8077153535796,77.15723203013195,94.64490218734257,82.58816876447433,6.260545399332168,13.440870516293812,880.6144843702716,69.11924852776316,444.59523100060306,R,Idle,False,False,False,False,False,False,False,False,True,False,False
84.44694279531527,97.35512973731915,47.98462005467485,42.33724278336193,38.111175562387615,1662.0053405169422,54.35351271482246,2393.988522753647,82.73447324774533,99.28857153777426,79.71743336188078,4.586055355317499,13.237950511442182,953.2237736851517,40.63472989463269,437.9529910924322,1,Active,False,False,False,False,False,False,False,False,True,False,False
87.59075415240277,58.83800304264117,59.95776651102367,21.949048189694913,33.54528890253388,1818.650234276598,54.33186135136614,2761.207548293006,77.06019249265849,101.50484188321205,85.55872786114092,6.414560962341559,13.152478998153539,976.2510612692665,71.85414598664744,400.2566023626511,3,Transport,False,False,False,False,False,False,False,False,True,False,False
91.0921194256321,93.30422033852088,45.839693475750714,31.88475761018103,37.96512816813314,1402.945515964663,51.11652973513928,2926.3890592015687,76.38835997180828,96.01934247228523,90.81358842325871,5.421608337526429,12.7266079681269,1056.1940737186783,40.921578734201624,434.5633924903624,3,Transport,False,False,False,False,False,False,False,False,True,False,False
84.06338650110666,76.1765725887677,47.2494235853173,23.43310654372587,40.0700248368569,1504.2861635651968,59.708095067757455,2458.2122914364927,87.07171466735814,95.60423400453227,83.44315541921294,3.6748338413572252,14.106070293653882,952.0234895825461,49.43571616290076,416.6856263473128,N,Transport,False,False,False,False,False,False,False,False,True,False,False
84.06345217220328,89.60244158448924,49.26487288284575,27.396909587285624,42.818939375034574,1773.2833211518425,55.38259031121856,2552.95588726225,83.84296004729615,99.32477699068613,84.6761543010529,5.087366540989072,12.468303185747384,927.6913195799704,50.73112850050854,466.5494311927571,1,Transport,False,False,False,False,False,False,False,False,True,False,False
91.31685126202956,99.04078979262786,54.20367241064775,14.899587880147479,37.04302635080976,1983.8934511779162,54.12778032857359,2514.612601459647,72.5539465573632,104.00819858451845,89.04148340076132,6.962507550581492,13.406126987017341,855.3704888485681,46.300345524277056,479.73213949792273,N,Idle,False,False,False,False,False,False,False,False,True,False,False
88.06973891661164,57.30432626912474,51.03901253676657,27.794617708434625,47.77599267073671,1718.7710847932258,51.26285373375398,2461.0469704838397,76.94092684058987,103.21867000596055,86.36348316538512,4.776269016549135,13.388328296053638,833.8259591766994,59.242327847814764,472.2205201177079,2,Active,False,False,False,False,False,False,False,False,True,False,False
83.1221024562602,97.66812912445558,43.536873264238686,28.06294620195038,34.42733842495969,1475.0484684196142,48.34043444804457,2375.1894298400803,80.96985188689084,95.6929363540683,78.71089688110169,3.4477922548319335,13.777178143076211,997.0248514668156,51.347518384668355,460.2712526888252,R,Transport,False,False,False,False,False,False,False,False,True,False,False
87.17024017434386,63.36891369414522,47.339157184364055,35.402879440356955,31.303974239136,1913.2005088585024,61.53982096274672,2337.2548018779285,81.29502026892597,103.26083942557842,85.39554886342073,2.6170337471050154,13.894045016189638,995.1070351738908,79.73151902909026,424.4127879857729,2,Transport,False,False,False,False,False,False,False,False,True,False,False
83.14632922875015,63.130714284215344,46.963227833938944,32.232809132553705,45.533552121436585,842.4064031160358,57.77319354065904,2329.6604101711714,74.03802853705243,95.82030111916745,91.04893964266239,3.8417529697030224,13.13130570029161,792.2987299151227,63.19875173461756,456.1620231780573,2,Active,False,False,False,False,False,False,False,False,True,False,False
83.13708098571897,60.42322625527034,49.61389477388477,18.016078750479547,28.626894843969,1073.329649547938,46.88041078715017,2560.786003832372,84.63426197128929,91.94915101003284,84.85223525413001,4.384795607343527,13.465197152962375,972.3095887153481,62.65911300216962,473.7829543093313,N,Transport,False,False,False,False,False,False,False,False,True,False,False
85.96784908626414,72.48445644085511,52.129218293149144,40.84198244043543,38.97935115563642,1704.4902671005166,58.815711503548286,2422.0488282694546,83.3008976767265,98.16428214476385,74.0340422820905,6.229998703875888,14.082436855226254,965.0383691395842,48.83478520425821,432.4129327680081,N,Active,False,False,False,False,False,False,False,False,True,False,False
77.3468790213688,49.24870259070923,52.09102877943986,32.10303040221996,55.588405646040236,1504.2325068759374,59.61240585116555,2113.2560724789205,81.92760652816135,105.61484685792868,86.5528599663643,3.3187260982825673,13.167411616538873,788.6191114985805,56.347577548596455,453.5695926418502,R,Transport,False,False,False,False,False,False,False,False,True,False,False
78.10032866994787,73.22268912148067,41.11994122975799,31.983935171774867,39.93978223520034,1681.6540953372496,55.62188061150465,2566.7287330897484,85.42691396284849,103.27980276070687,84.20617424182386,7.330627828594453,12.666783262467412,954.0456804789177,44.9591197744,445.63615232190233,N,Active,False,False,False,False,False,False,False,False,True,False,False
82.75084988303611,72.50228874460024,55.31970493780428,29.90817646614861,34.39616174651875,1519.3222567295827,62.990554478758796,2494.260807630377,81.80915997028367,99.99214096313403,77.68362234431513,2.9942716837382126,13.00776594365029,795.0453540518192,70.50117009001545,499.87100008831453,N,Transport,False,False,False,False,False,False,False,False,True,False,False
80.9486755186623,85.7141087562922,51.262844229983116,24.822425527777803,39.71301268106603,1671.283708381162,56.08359821061441,2702.000950210172,81.79432351700738,97.91647258204472,78.28316763978486,8.497229138835255,12.547677000692765,657.0707032326511,53.246369846139075,475.54644405793573,N,Idle,False,False,False,False,False,False,False,False,True,False,False
86.25698933038109,90.01899771625514,56.92266023796953,32.17802339748726,39.745996056902335,1255.6791537020429,47.91588236025405,2555.9683595636516,86.23071708728897,98.05118931941784,88.90042857315524,7.588277835131707,13.38590840549736,883.989758630795,70.07863333572841,468.27478835245176,N,Transport,False,False,False,False,False,False,False,False,True,False,False
81.36790369791515,66.42648101874545,52.22099163645336,34.75588435928582,40.80324970176558,1671.1458258239072,56.825845005241604,2278.1989605534554,84.40487832291083,100.54392452930398,82.07046901761969,5.211749374081988,13.732228104070316,925.7814705254989,54.86783999717902,398.4991879810369,N,Idle,False,False,False,False,False,False,False,False,True,False,False
79.35078519465884,58.13999496108963,55.50661478867881,12.53104308654445,43.311314910798096,1798.3243584622753,56.22448650856364,2165.5485038905026,76.63397016435387,94.65781257077086,81.37001447705603,2.5284596978456118,13.13947925396623,888.4929195116887,79.55028960459381,455.1851198030275,2,Active,False,False,False,False,False,False,False,False,True,False,False
90.86259507568622,55.56009383902567,52.33272655725064,24.612391626539043,34.8044441581613,1866.1651811793697,51.98351575610923,2392.079142349309,82.53278071468766,98.25946327399352,84.85744575627332,4.916863907026367,12.38951997527318,1186.7106817187973,46.84486489018487,445.3495971322629,2,Idle,False,False,False,False,False,False,False,False,True,False,False
